gid	disp
Zm00001d008893	0
Zm00001d008898	0
Zm00001d008900	0
Zm00001d008904	0
Zm00001d008905	0
Zm00001d008906	0
Zm00001d008907	0
Zm00001d008909	0
Zm00001d008916	0
Zm00001d008925	0
Zm00001d008929	0
Zm00001d008930	0
Zm00001d008934	0
Zm00001d008939	0
Zm00001d008940	0
Zm00001d008944	0
Zm00001d008965	0
Zm00001d008970	0
Zm00001d008974	0
Zm00001d008977	0
Zm00001d008982	0
Zm00001d008984	0
Zm00001d008992	0
Zm00001d008993	0
Zm00001d008996	0
Zm00001d008997	0
Zm00001d009000	0
Zm00001d009014	0
Zm00001d009023	0
Zm00001d009027	0
Zm00001d009029	0
Zm00001d009060	0
Zm00001d009075	0
Zm00001d009077	0
Zm00001d009081	0
Zm00001d009083	0
Zm00001d009085	0
Zm00001d009088	0
Zm00001d009103	0
Zm00001d009117	0
Zm00001d009118	0
Zm00001d009125	0
Zm00001d009127	0
Zm00001d009131	0
Zm00001d009132	0
Zm00001d009134	0
Zm00001d009146	0
Zm00001d009147	0
Zm00001d009150	0
Zm00001d009156	0
Zm00001d009160	0
Zm00001d009161	0
Zm00001d009163	0
Zm00001d009182	0
Zm00001d009193	0
Zm00001d009226	0
Zm00001d009233	0
Zm00001d009236	0
Zm00001d009312	0
Zm00001d009316	0
Zm00001d009324	0
Zm00001d009328	0
Zm00001d009330	0
Zm00001d009336	0
Zm00001d009337	0
Zm00001d009359	0
Zm00001d009387	0
Zm00001d009401	0
Zm00001d009402	0
Zm00001d009404	0
Zm00001d009407	0
Zm00001d009409	0
Zm00001d009410	0
Zm00001d009413	0
Zm00001d009417	0
Zm00001d009418	0
Zm00001d009439	0
Zm00001d009440	0
Zm00001d009445	0
Zm00001d009452	0
Zm00001d009481	0
Zm00001d009487	0
Zm00001d009495	0
Zm00001d009500	0
Zm00001d009504	0
Zm00001d009506	0
Zm00001d009511	0
Zm00001d009513	0
Zm00001d009517	0
Zm00001d009520	0
Zm00001d009522	0
Zm00001d009539	0
Zm00001d009541	0
Zm00001d009542	0
Zm00001d009548	0
Zm00001d009549	0
Zm00001d009552	0
Zm00001d009554	0
Zm00001d009555	0
Zm00001d009562	0
Zm00001d009571	0
Zm00001d009572	0
Zm00001d009579	0
Zm00001d009591	0
Zm00001d009594	0
Zm00001d009597	0
Zm00001d009600	0
Zm00001d009603	0
Zm00001d009618	0
Zm00001d009626	0
Zm00001d009631	0
Zm00001d009638	0
Zm00001d009640	0
Zm00001d009645	0
Zm00001d009646	0
Zm00001d009653	0
Zm00001d009660	0
Zm00001d009661	0
Zm00001d009669	0
Zm00001d009676	0
Zm00001d009683	0
Zm00001d009690	0
Zm00001d009693	0
Zm00001d009694	0
Zm00001d009695	0
Zm00001d009700	0
Zm00001d009702	0
Zm00001d009707	0
Zm00001d009708	0
Zm00001d009709	0
Zm00001d009716	0
Zm00001d009717	0
Zm00001d009724	0
Zm00001d009740	0
Zm00001d009747	0
